iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CIV,C?te d'Ivoire,MtCO2e,131.35,134.15,136.77,139.64,142.6,143.9,145.58,148.29,149.11,153.16,152.84,83.97,84.71,80.52,79.09,80.84,79.69,79.08,79.45,77.56,77.55,76.95,80.5,82.59,82.99,84.41,85.72,87.21,86.74
BHR,Bahrain,MtCO2e,26.68,25.93,30.06,31.85,32.6,33.48,35.35,36.61,39.44,39.99,41.5,42.83,44.87,46.66,46.89,52.93,57.19,58.91,63.16,63.66,66.87,67.62,70.36,74.86,78.38,79.36,79.75,80.85,82.1
BFA,Burkina Faso,MtCO2e,36.9,37.33,37.63,37.88,38.32,38.7,39.95,40.65,41.54,41.57,43.09,49.03,49.72,53.2,53.77,54.4,54.65,55.65,56.67,57.34,58.65,38.01,39.18,40.43,40.96,42.91,81.04,82.62,84.01
AZE,Azerbaijan,MtCO2e,125.8,121.97,142.86,106.74,72.82,70.89,60.13,58.98,59.51,59.4,62.73,60.37,60.22,65.31,65.13,69.95,72.78,69.09,76.38,67.29,65.01,68.37,74.25,76.28,78.81,78.22,80.9,79.89,82.08
KEN,Kenya,MtCO2e,32.79,31.27,31.32,30.99,31.45,32.21,32.19,31.53,33.38,35.67,35.55,72.93,73.6,73.78,77.15,78.62,80.08,96.77,98.4,100.89,103.32,92.16,90.27,92.57,97.97,101.36,76.16,74.74,74.93
SSD,South Sudan,MtCO2e,49.02,49.85,52.19,53.97,56.03,56.91,61.35,66.78,72.38,75.93,77.86,72.53,76.52,79.58,82.26,85.58,84.53,88.76,89.85,91.93,91.21,87.26,71.74,71.92,73.2,74.06,79.95,77.23,82.54
CHL,Chile,MtCO2e,42.62,40.19,42.89,47.69,55.12,61.96,74.37,87.95,89.72,95.04,87.06,45.4,46.81,48.58,58.73,60.37,62.81,78,86.29,81.26,90.67,13.39,17.73,25.46,11.7,23.52,78.7,81.22,79.49
CHE,Switzerland,MtCO2e,94.39,98.95,98.91,94.28,92.52,94.28,95.46,92.74,95.8,96.22,94.65,96,92.72,95.18,96.1,97.39,96.74,92.87,95.92,93.18,96.29,88.46,91.08,93.13,85.59,84.11,85.13,83.19,80.73
UGA,Uganda,MtCO2e,42.77,43.25,43.5,43.84,43.41,44.33,45.19,46.6,48.18,48.01,47.8,47.42,48.35,50.15,50.14,52.53,51.44,54.58,60.88,61.56,63.01,63.68,65.31,65.12,66.56,68.81,69.12,70.11,72.07
DNK,Denmark,MtCO2e,124.24,145.84,133.96,138.94,146.52,140.29,167.15,147.73,139.82,134.05,126.23,128.87,127.81,138.72,127.03,119.82,135.4,125.79,118.94,113.81,114.26,99.88,89.87,93.02,84.67,80.53,89.43,84.99,84.38
SYR,Syria,MtCO2e,102.2,115.16,119.62,123.98,128.83,134.11,139.01,138.71,144.39,143.08,143.29,143.46,144.94,144.46,139.13,159.92,164.94,171.13,173.36,164.31,164.15,155.46,118.5,81.58,71.54,68.41,68.01,71.51,75.34
LAO,Laos,MtCO2e,30.66,30.61,30.96,31,31.39,31.48,31.66,31.36,33.11,31.81,31.71,34.02,35.35,35.98,40.84,37.79,37.09,42.55,37.98,39.91,44.27,33.38,35.54,37.84,38.14,47.34,62.55,67.24,68.02
CAF,Central African Republic,MtCO2e,64.67,64.98,65.04,65.09,67.6,67.73,52.35,55.64,60.91,57.19,58.42,71.23,66.5,83.03,69.69,77.54,76.17,78.98,78.23,65.74,74.7,77.58,72.35,70.22,66.68,69.19,77.75,71.87,71.73
NPL,Nepal,MtCO2e,18.75,19.25,19.02,20,21.06,22.27,22.34,22.98,23.75,26.11,26.5,21.54,19.97,21.5,21.34,22.42,21.34,21.49,23.21,26,28.04,43.73,46.06,46.83,49.27,48.31,58.25,61.79,65.78
SVK,Slovakia,MtCO2e,102.69,87.74,83.37,78.96,73.67,74.91,74.72,74.68,72.67,70.47,65.26,68.44,67.48,68,66.41,68.32,67.24,65.6,65.54,58.71,61.76,60.53,56.41,57.64,52.51,53.25,67.94,71.95,70.83
TUN,Tunisia,MtCO2e,34.54,36.07,38.49,39.03,38.76,39.65,41.56,42.64,44.89,47.42,49.87,50.88,51.25,50.86,53.26,54.5,56.57,59.05,60.12,60.46,65.27,72.52,77.49,76.25,81.17,82.27,64.37,65.12,65.92
NIC,Nicaragua,MtCO2e,50.56,49.18,50.4,51.03,51.67,51.18,51.35,52.39,53.84,54.42,55.21,63.58,64.17,65.87,65.27,65.59,65.93,66.24,65.94,65.88,66.4,42.49,42.77,42.83,44.07,45.52,63.08,62.83,62.38
SOM,Somalia,MtCO2e,59.97,57.06,55.09,57.03,58.96,59.58,60.01,60.37,60.18,60.23,60.39,60.95,61.41,61.65,61.95,62.39,61.12,60.06,60.08,60.11,60.33,60.49,60.77,60.92,61.05,61.11,61.15,60.99,60.98
LKA,Sri Lanka,MtCO2e,36.52,36.51,39.54,39.7,41.15,41.33,43.79,41.79,39.57,39.87,40.55,35.97,37.37,39.58,40.16,43.22,40.08,42.18,41.66,40.28,42.34,43.63,47.54,41.64,47.29,51.53,61.52,60.59,58.58
